﻿total=1044
Il faut le voir pour le croire.	眼见为实
chien,chienne	狗 （母狗）
bétail	家畜
bal	跳舞，舞会
balader	领（人）闲逛
se balader	闲逛，游览
citadin,e	市民
cité	城市，住宅区
chambre	房间，卧室，议院
terme	结束，终结
terminer	结束，完成
vide	空的
âge	年龄，时代，年纪
âgé ,e	上了年纪的，老年的
former	建立，创造
forme	形状，方式，体型
croyable	可信的
croyance	相信，确信
dissuader	劝阻，说服，使放弃
distance	距离，间距
distant.e	远离的，冷淡的，傲慢的
parvenir （à）	到达，抵达，成名
parvenir à faire qch	成功做成某事
abriter	隐蔽，掩护
abri	隐藏处，躲避处
à l'abri de	躲避，在...保护之下
cœur	心脏；勇气
de bon cœur	乐意地
de tout cœur	全心全意地
par cœur	记住，牢记
décoloré ,e	褪色的
cerveau	大脑
fondre	使融化，使溶解
fonds	资金
minuit	午夜，半夜
minute	分钟
sable	沙，沙滩
sac	袋，包
aspirer	吸气
aspiration	吸入，愿望，向往
jupe	裙子
jurer	发誓，起誓
juré ,e	宣过誓的，不可和解的
cou	脖子
bâiller	打哈欠
jadis	从前，过去
jambon	火腿
annexer	附加，兼并
frictionner	摩擦
friction	擦身，摩擦，矛盾
bondir	跳跃，扑向
bond	跳
riche	富的，丰富的
richesse	财富
ambition	雄心，抱负
ambitieux ,euse	有野心的； 野心家
inouï ,e	闻所未闻的，过分的
trente	三十的；三十
trentaine	三十左右
trentième	三十分之一
vrai,e	真的
vraiment	真正地；确定地
rappeler	唤起
se rappeler	回想起，记起
améliorer	改进，提高
amélioration	改良，改善
espèce	物种，品种
numéro	号码
numéroter	把...编号
graver	刻，雕刻
capital，e	重要的
amour	爱，爱人
fissur	裂缝
fixer	使固定
bouquet	花束
devoir	作业，义务，职责
attendre	等待，期望
attendrir	使变软；使感动；使同情
réagir	起反应；反抗，抵抗
sauce	调味汁
savon	肥皂
irriter	激怒，使生气
isoler	（使）孤立；隔离
élève	学生 
élever	培养，教育，提高
camper	露营
camp	营地
sort	命运
sorte	种类，类型
tendre	温柔的，嫩的
monter	登上；提高
montrer	让人看，出示
dormir	睡觉
décor	装饰；环境；背景
décoration	装饰；勋章；奖章
décorer	装饰；授勋
stylo	钢笔
subir	遭受，忍受
dégât	损坏，损失
consolider	加强，巩固
relation	关系，联系
relatif ,ive	相对的，比较的
violer	违反，违背
étrange	奇怪的
étranger .ère	外国的，不熟悉的；陌生人
sauf	除了...之外，除非
sauf que	除了...以外，只是
académie	科学院，学术协会
accès	进入，到达，接近
assessible	可进入的，可理解的
voyage	旅行，旅程
voyager	旅行
voyageur,euse	乘客，旅行者
inévitable	不可避免的
infini ,e	无限的，无穷的
concentrer	集中，集合
faculté	学院，系，能力
tête	头，脸
avoir de la tête	有头脑，有见识；记忆力强
faire la tête à qn	给某人脸色看
abuser (+de)	过度使用，利用
abus	过度使用，利用
voisin ,e	邻近的，相似的
Bon voisin , bon jour.	遇上好的邻居等于遇上好天气。
difficile	难的
difficulté	困难
étude	学习，研究
étudiant ,e	大学生
étudier	学习，研究
comparer	比较
comparable	可比较的，类似的
comparaison	比较，对照
livre	书；半公斤，磅
à livre ouvert	看一眼就能...， 流畅地
vaisselle	餐具
rassurer	使安心，使放心
rat	老鼠
évacuer	排泄；排出；疏散
évader	逃走，溜走
évadé ,e	越狱的；逃犯
journal	报纸；日记；日志
journaliste	新闻记者
barbier	理发师
donner	给予；留出
donner sur	俯瞰
se donner	给予，允许；宣称
drôle	滑稽的，可笑的 
drôlement	滑稽地，可笑地
sauver	救，挽救
se sauver	逃跑，逃走
vol	偷，飞行
voix	嗓音，呼声
voiture	汽车
diffuser	使散开；传播；发行
journée	天，白昼
joyeux ,euse	高兴的，快乐的
scolaire	学校的，乏味的
disposer	放置，布置，使用
disposer de	拥有，支配
tribune	讲台，论坛
absorber	吸收，喝，吃，使专心致志
s'absorber	被吸收；专心于，全神贯注于
justification	证实，证明
justifier	为...辩护
apéritif	开胃酒
tenue	穿戴；仪表；姿态
bière	啤酒，棺材
rapporter	拿来；带回
se rapporter à	与...有关
éveiller	吵醒；引起
s'éveiller	睡醒；觉醒
éveillé ,e	醒着的；活跃的
natal,e	故乡的；祖国的
apéritif ,ive	开胃的
camion	卡车，货车
campagne	乡村，战役
