puman	美洲狮
forbidding	a.望而生畏的，望而却步的
muster	v.鼓起
pretentious	a.自命不凡的，矫饰的
labyrinth	n.迷宫
musty	a.陈腐的，发霉的
rarity	n.稀世珍品
assorted	a.各式各样的
junk	n.破烂货，废品
carve	v.镌刻
dagger	n.短剑，匕首
litter	v.杂乱地布满；n.垃圾
dedicated	a.专心致志的；全身心投入的
bargain hunter	n.到处找便宜货买的人
dealer	v.商人
cherish	v.期望，渴望；珍爱
amply	ad.足够地
masterpiece	n.杰作
mere	a.仅仅的
prize	a.珍贵的，宝贵的
miniature	a.小巧的，小型的
composition	n.构图
justice	n.正义，公正；司法
court	n.法院
law	n.法律
innocence	n.无辜
undertake	v.承担，着手做
arduous	a.艰苦的，艰难的
abstract	a.抽象的
concept	n.概念，观念
mete	给予，处置
interference	n.干涉
accord	v./n.一致
premises	n.房屋
convert	v.转变，改变
disused	a.不再用的，废弃的
fireplace	n.壁炉
muffle	v.捂住，压抑
chip	v.砍，削，凿；碎裂
blacken	v.使变黑
emerge	v.(从某处)出现
credulous	a.轻信的
improbable	a.不大可能的
obscure	a.不起眼的；v.遮掩，模糊
maidservant	n.女仆，女佣
presume	v.假定
wickedly	ad.心眼坏地，居心叵测地
plot	v.密谋
downfall	n.倒台，垮台
naïve	a.天真的
unacceptable	a.不能接受的
conspire	v.(事件)巧合促成
incredible	a.难以置信的
resemblance	n.相似
scorn	n.嘲弄，挖苦
acquaint	v.使了解
reunite	v.使团聚
assume	v.假定，认为
express	n.快车 a.高速的
punctual	a.准时的
condition	v.使习惯于
unshakable	a.不可动摇的
faith	n.信任
cancel	v.取消
exceptionally	ad.例外地
dislocate	v.打乱(计划等)
blame	v.责怪
consult	v.请教，查阅
direct	ad.径直地
odd	a.奇怪的，异常的
reflect	v.细想
advantage	n.优势
mighty	a.强大的，有力的
dawdle	v.慢吞吞地动或做
chug	v.咔嚓咔嚓地响
lodge	v.提出；n.小屋，(旅游区的)小旅馆
complaint	n.抱怨
triumph	n.胜利; v.战胜
asterisk	n.星号(*)
conduct	v.引向，引导
calendar	n.历法，日历
historian	n.历史学家
unique	a.无与伦比的；独特的
steadily	ad.不断地
solely	ad.唯一地
video	n.录像
CD-ROM	n.(只读)光盘驱动器
bewilder	v.令人眼花缭乱
deduce	v.推断，推理
scanty	a.不足的，贫乏的
mammoth	n.(古生物)长毛象
tusk	n.獠牙，长牙，象牙
nomad	n.游牧民
correlate	v.使相互联系
clue	n.线索
insignificant	a.不重要的
shed	v.使流出，泻
advent	n.出现，到来，来临
agriculture	n.农业
assumption	n.假定，设想
dot	n.小圆点
symbol	n.符号
engrave	v.雕刻
ivory	n.象牙制品
phase	n.月相，天相
primitive	a.原始的
depict	v.描画，描绘
rough	a.崎岖不平的
boulder	n.大石块
pit	v.使得坑坑洼洼
perturb	v.使不安
underestimate	v.低估
swerve	v.急转弯
scoop	v.挖出
hammer	v.(用锤)击打，锤打
ominously	ad.有预兆的，不祥的
rip	v.划破，撕，扯
zigzag	n."之"字形
shallow	a.浅的
grind	v.磨擦，磨
petrol	n.汽油
stretch	n.一大片(平地或水)
obstacle	n.障碍
clump	n.丛，簇
fissure	n.(石，地的)深缝
renew	v.重复；更新
pleading	n.恳求
gear	n.(汽车)排档
astride	prep.骑，跨
crack	n.缝隙
halt	n.停
dashboard	n.(汽车上的)仪表盘
hoax	n.骗局，戏弄
deception	n.欺骗，骗局
self-respecting	a.自重的，自尊的
indulge	v.使沉迷；享受
pneumatic	a.气动的
drill	n.钻
silly	a.无意义的，无聊的
advance	a.预先的，事先获得的
archway	n.拱形门楼
remonstrate	v.规劝，告诫
ironically	ad.讽刺地
permission	n.许可
grant	v.同意，准予
illusion	n.幻想，错觉
pastoral	a.田园的
breed	v.培育
rapture	n.欣喜
extol	v.赞美，颂扬
superior	a.优越的
cockcrow	n.鸡叫
twitter	v.(鸟)吱吱叫，嘁嘁喳喳叫
glint	v.闪烁
pasture	n.牧场
idyllic	a.田园诗的
virtually	ad.几乎，差不多
dubious	a.可疑的，怀疑的
privilege	n.好处，特权
misery	n.苦难
acquaintance	n.熟人
treat	n.难得的乐事，享受
dweller	n.居住者
stagger	v.摇晃，蹒跚
exotic	a.异乎寻常的，外来的
glow	n.白炽光
descend	v.下落，降临
tuck	v.缩进，隐藏
obstinately	ad.固执地，顽固地
caveman	n.(远古)洞穴人
pot-holing	n.洞穴探险，洞穴探险运动
solitude	n.孤独，寂寞
lure	v.引诱，诱惑
pot-holer	n.洞穴探险者
rambler	n.漫步者，散步者
undertaking	n.任务，工作
foresight	n.预见；深谋远虑
foretell	v.预言
Grenoble	n.格里诺布尔
chasm	n.断层，裂口，陷坑
flaw	n.小裂缝；缺点，瑕疵
distinguished	a.杰出的，著名的
Everest	n.珠穆朗玛峰
wade	v.涉水
waterfall	n.瀑布
gear	n.(汽车)排档
inflatable	a.可充气的
rubble	n.碎瓦，瓦块
insistent	a.连续的，不断的
boom	v.轰响
waterspout	n.强大的水柱
cleft	n.裂隙，开口
cavern	n.大洞穴
stalagmite	n.石笋
stalactite	n.钟乳石
limestone	n.石灰石
glisten	v.闪烁
eerie	a.引起恐惧的，可怕的
dome	n.穹窿，圆顶
insure	v.投保
fete	n.游园会
admittedly	ad.公认的
purchase	v.买
annual	a.一年一度的
teenager	n.(13岁至19岁的)青少年
capsize	v.(船)翻
shiver	v.打颤，发抖
dive	v.(头向下)跳水
haul	v.拖曳
hawser	n.粗缆绳
rim	n.(圆形物品的)外沿，边
winch	n.绞车(带有绞盘的车)
premium	n.保险费
recover	v.使……得到补偿，弥补
agonizing	a.精神紧张的，提心吊胆的
perch	v.处于(高处)
precariously	ad.危险地，不稳固地
overbalance	v.失去平衡
clamp	n.夹钳，夹板
vertically	ad.垂直地
torrent	n.激流，洪流
rebound	v.弹回
positively	ad.绝对地，完全地
compartment	n.(轮船的)密封舱
cramped	a.窄小的
stuffy	a.憋气的，闷气的
monotonous	a.枯燥的，乏味的，单调的
rhythm	n.有节奏的运动
click	v.发出咔哒声
lull	v.催人欲睡
snatch	n.短时，片段
sleeper	n.(火车等的)卧铺
fumble	v.乱摸，摸索
inspection	n.检查
inevitably	ad.必然地，不可避免地
destination	n.目的地
exhaust	v.使精疲力尽
motorway	n.快车道
ferry	n.渡船
cruise	n.巡游船
civilize	v.使文明
spacious	a.宽敞的
seasick	a.晕船的
intimidate	v.恐吓，恫吓
disadvantage	n.短处，缺点
exhilaration	a.使人高兴的，令人兴奋的
escapist	n.逍遥者，逃避现实者
sip	v.呷，啜
champagne	n.香槟酒
refinement	n.精心的安排
breathtaking	a.激动人心的；不寻常的
soar	v.高飞，翱翔
effortlessly	ad.不费力地
landscape	n.景色
fresh	a.精神饱满的
uncrumpled	a.没有垮下来
democratic	a.民主的
restrict	v.限制
abuse	n.辱骂，责骂
contention	n.论点
quintuplet	n.五胞胎之一
obscurity	n.默默无闻
radically	ad.彻底地，完全地
exclusive	a.独占的，独家的
untold	a.数不尽地，无限的
South	南达科他州(美国)
perpetual	a.永久的
nursery	n.育婴室，保育室
commercialization	n.商品化
commodity	n.商品
plead	v.找(借口)，辩解
ignorance	n.无知，不懂
publication	n.出版物，出版
newlyweds	n.新婚夫妇
gaily	ad.愉快地，高兴地
leisure	n.空闲
keen	a.热心的，渴望的
advisory	a.咨询的
novice	n.新手
consumer	n.消费者，顾客
assemble	v.装配，组装
outlet	n.出路，出口
creative	a.创造性的
handyman	n.手巧的人，能工巧匠
resourceful	a.足智多谋的
fuse	v.由于烧断保险丝而短路
rickety	a.要散架的，晃动的
clog	v.堵塞
delusion	n.错觉
lawn mower	割草机
adjustment	n.调整
screw	n.螺丝钉
dismantle	v.拆卸
chunk	n.(厚)块
snap	v.绷断
insurmountable	a.不能克服的，难以对付的
jigsaw	n.线锯
nag	v.唠叨不休
rust	v.生锈
pollution	n.污染
overpopulated	a.人口多的
over-industrialized	a.过度工业化的
sheer	a.纯粹的，不掺杂的
worldwide	ad.在全世界
overwhelm	v.制服，使不知所措
pollute	v.污染
pesticide	n.杀虫剂
fertilizer	n.肥料
salmonella	n.沙门氏菌
listeria	n.利斯特杆菌
vegetarian	n.吃素的人
organically-grown	a.有机培植的(不施化肥和其他化学药品培植)
insidious	a.暗中为害的
urban	a.城市的
burglar	n.窃贼
burgle	v.入室偷窃
scream	v.尖叫
profound	a.极度的
irritation	n.烦躁
incessantly	ad.连续不断地
whine	v.发呜呜声
helicopter	n.直升飞机
maximum	a.最大的
technology	n.技术
contribution	n.贡献
mobile	a.可移动的
snore	v.打鼾
offender	n.冒犯者
staggering	a.令人惊愕的
trumpet	v.吹号
partner	n.伙伴
inaccessible	a.难接近的，达不到的
hospitable	a.好客的
hostile	a.不友好的，有敌意的
vicinity	n.周围,附近
architectural	a.建筑的
fresco	n.壁画
abruptly	ad.突然地，意外地
tramp	v.徒步行进
moor	v.(用绳、链、锚)系(船)
ferry	n.渡船
straggle	v.蔓延，散乱分布
dilapidated	a.陈旧破烂的，倒塌的
sardine	n.沙丁鱼，沙丁鱼罐头
rag	n.破烂衣服
motionless	a.不动的
